sequence,phase,trialNum,fact,factCat,factSub,factText,question,questionCat,questionSub,questionText
3,test,t4,Autb1,autonomy,noise,is making noises all by itself,Auta1,autonomy,movement,can move itself around the box
3,test,t5,Affb1,affect,arousal,is feeling excited,Phya1,inanimacy,metal_plastic,is made out of metal
3,test,t6,Pera1,perception,vision,can see me,Perb1,perception,hearing,can hear me
3,test,t7,Phyb2,inanimacy,glass_clay,is made out of clay,Autb2,autonomy,noise,can make sounds on its own
3,test,t8,Auta2,autonomy,movement,is moving itself from one side of the box to the other,Affa1,affect,valence,can feel happy 
4,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
4,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
4,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
4,test,t1,Autb1,autonomy,noise,is making noises all by itself,Affb1,affect,arousal,can feel excited 
4,test,t2,Phya1,inanimacy,metal_plastic,is made out of metal,Auta2,autonomy,movement,can move itself from one side of the box to the other
4,test,t3,Pera2,perception,vision,can see what the box looks like,Perb2,perception,hearing,can hear what's going on around it
4,test,t4,Affb2,affect,arousal,is feeling calm ,Phyb2,inanimacy,glass_clay,is made out of clay
4,test,t5,Auta1,autonomy,movement,is moving itself around the box,Autb2,autonomy,noise,can make sounds on its own
4,test,t6,Phyb1,inanimacy,glass_clay,is made out of glass,Affa2,affect,valence,can feel sad 
4,test,t7,Perb1,perception,hearing,can hear me,Phya2,inanimacy,metal_plastic,is made out of plastic
4,test,t8,Affa1,affect,valence,feels happy ,Pera1,perception,vision,can see me
5,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
5,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
5,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
5,test,t1,Phyb2,inanimacy,glass_clay,is made out of clay,Pera2,perception,vision,can see what the box looks like
5,test,t2,Affa2,affect,valence,feels sad ,Auta2,autonomy,movement,can move itself from one side of the box to the other
5,test,t3,Perb1,perception,hearing,can hear me,Affb1,affect,arousal,can feel excited 
5,test,t4,Autb1,autonomy,noise,is making noises all by itself,Phya1,inanimacy,metal_plastic,is made out of metal
5,test,t5,Affa1,affect,valence,feels happy ,Affb2,affect,arousal,can feel calm 
5,test,t6,Auta1,autonomy,movement,is moving itself around the box,Perb2,perception,hearing,can hear what's going on around it
5,test,t7,Phya2,inanimacy,metal_plastic,is made out of plastic,Phyb1,inanimacy,glass_clay,is made out of glass
5,test,t8,Pera1,perception,vision,can see me,Autb2,autonomy,noise,can make sounds on its own
6,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
6,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
6,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
6,test,t1,Perb2,perception,hearing,can hear what's going on around it,Auta2,autonomy,movement,can move itself from one side of the box to the other
6,test,t2,Phya1,inanimacy,metal_plastic,is made out of metal,Phyb2,inanimacy,glass_clay,is made out of clay
6,test,t3,Autb1,autonomy,noise,is making noises all by itself,Pera1,perception,vision,can see me
6,test,t4,Affb1,affect,arousal,is feeling excited,Affa2,affect,valence,can feel sad 
6,test,t5,Auta1,autonomy,movement,is moving itself around the box,Phya2,inanimacy,metal_plastic,is made out of plastic
6,test,t6,Pera2,perception,vision,can see what the box looks like,Affa1,affect,valence,can feel happy 
6,test,t7,Affb2,affect,arousal,is feeling calm ,Autb2,autonomy,noise,can make sounds on its own
6,test,t8,Phyb1,inanimacy,glass_clay,is made out of glass,Perb1,perception,hearing,can hear me
7,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
7,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
7,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
7,test,t1,Affb1,affect,arousal,is feeling excited,Perb2,perception,hearing,can hear what's going on around it
7,test,t2,Pera1,perception,vision,can see me,Phya1,inanimacy,metal_plastic,is made out of metal
7,test,t3,Phyb2,inanimacy,glass_clay,is made out of clay,Affa1,affect,valence,can feel happy 
7,test,t4,Auta2,autonomy,movement,is moving itself from one side of the box to the other,Autb1,autonomy,noise,can make noises all by itself
7,test,t5,Affa2,affect,valence,feels sad ,Phyb1,inanimacy,glass_clay,is made out of glass
7,test,t6,Perb1,perception,hearing,can hear me,Pera2,perception,vision,can see what the box looks like
7,test,t7,Phya2,inanimacy,metal_plastic,is made out of plastic,Auta1,autonomy,movement,can move itself around the box
7,test,t8,Autb2,autonomy,noise,is making sounds on its own,Affb2,affect,arousal,can feel calm 
8,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
8,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
8,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
8,test,t1,Auta1,autonomy,movement,is moving itself around the box,Affa2,affect,valence,can feel sad 
8,test,t2,Phyb1,inanimacy,glass_clay,is made out of glass,Autb1,autonomy,noise,can make noises all by itself
8,test,t3,Perb2,perception,hearing,can hear what's going on around it,Pera1,perception,vision,can see me
8,test,t4,Affa1,affect,valence,feels happy ,Phya2,inanimacy,metal_plastic,is made out of plastic
8,test,t5,Autb2,autonomy,noise,is making sounds on its own,Auta2,autonomy,movement,can move itself from one side of the box to the other
8,test,t6,Phya1,inanimacy,metal_plastic,is made out of metal,Affb1,affect,arousal,can feel excited 
8,test,t7,Pera2,perception,vision,can see what the box looks like,Phyb2,inanimacy,glass_clay,is made out of clay
8,test,t8,Affb2,affect,arousal,is feeling calm ,Perb1,perception,hearing,can hear me
